Municipios,OcupHot,ABOccuRate,SharePernoc,ShABRentals,TourOv,TourC,Pop,GDPpc,MovA,S.S,AccAward,Pop.D,InfoWAcc,BookHSR,SmrtF,InnC,TurApp
Mojácar,42.86,29,0.402618205125768,0.0595436551407859,9.03,23.8,6.301,20732,992043,1,0,6.5,0,16.92307692,0,0.83,0
Monachil,60.17,35,0.153726516339238,0.0598974741405941,9.03,20.45,7.826,22946,1126389,0,0,6.6,0,19.44444444,0,1.2,0
Murcia,45.78,46,0.312344480825214,0.345021154293662,12.1,7.89,447.182,25049,1273424,0,0,10.6,0,27.82608696,1,1.31,1
Muro,84.17,66,1.24784074058223,0.080480214033278,6.86,10.17,6.931,21692,29081787,1,0,5.2,0,5,1,0.17,0
Naut Arán,47,41,0.116965218275041,0.00489222809350075,5.82,38.95,1.79,24593,45500,0,0,6.6,0,8,0,0.37,0
Nerja,63.13,59,0.384221891587553,0.16859475340857,9.03,18.65,21.061,18084,19021704,1,0,7.6,0,6.752411576,1,0.43,1
Níjar,43.6,24,0.0828648251313883,0.0341707503276228,9.03,16.91,30.122,14691,992043,1,0,6.5,0,16,0,0.32,0
Oviedo,44.09,40,0.381848306687088,0.802284582064915,10.4,10.08,220.02,28149,1400481,0,0,11.9,0,29.46428571,1,1.56,1
Pájara,78.49,64,3.58091846490182,0.0166635140486556,8.54,8.72,20.539,19136,28439431,1,0,3.9,0,0,0,0.5,0
Palma de Mallorca,75.58,64,3.59508907180324,9.74622332238763,6.86,11.89,409.661,27994,29081787,1,0,5.2,0,12.71676301,1,1.46,1
Pamplona,52.88,41,0.268898560887808,5.76377274477811,5.94,7.13,199.066,25049,205503,0,1,4.9,0,17.54385965,0,1.44,1
Peñíscola,60.89,19,0.697262618487252,0.0642249526767088,9.87,22.91,7.447,19258,0,1,0,8.8,0,7.042253521,0,0.29,0
Puerto de la Cruz,82.26,74,1.81115781616437,2.38405283334173,8.54,24.16,30.483,22451,16845622,1,0,4.8,0,19.7260274,1,1.45,0
Ribadeo,39.26,10,0.0467437106987332,0.0462142047441685,10.04,13.17,9.9,20967,0,0,0,6.3,0,25,0,0.21,1
Ribadesella,47.62,20,0.0505275133735103,0.0634288599271405,10.4,23,5.73,20813,1400481,1,0,11.9,0,12.5,0,0.34,0
Ronda,57.65,38,0.161034008442493,0.0581487917761578,9.03,15.49,33.978,21281,19021704,0,0,7.6,0,18.44660194,1,0.69,1
Roquetas de Mar,59.15,41,1.07550231763376,1.07648069849314,9.03,12.12,94.925,20636,992043,1,0,6.5,1,34.66666667,1,1.03,1
Roses,63.9,58,0.460782989678665,0.286382459287,5.82,14.8,19.319,22986,2019876,1,0,5.6,0,4.576271186,0,0.79,0
Salamanca,52.07,41,0.454756277062341,2.49276372103277,4.83,11.96,143.978,24632,14649,0,0,5.8,1,25.89641434,1,1.05,1
Sallent de Gallego,48.34,45,0.100160913226856,0.00614420301589872,6.83,37.38,1.463,25626,2972,0,0,11,0,15,0,0,0
Salou,78.22,70,2.5181056338938,1.20650918092262,5.82,20.99,26.775,23876,1037576,1,0,7.1,1,12.82679739,0,0.7,0
San Bartolomé de Tirajana,83.66,64,5.43227964823752,0.109466155171405,8.54,27.06,53.588,22056,28439431,1,0,3.9,0,16.15384615,1,1.34,0
San Javier,35.68,38,0.0498320917467155,0.292574291783642,12.1,12.09,31.905,27115,1273424,1,0,10.6,0,7.894736842,1,1.04,1
San Lorenzo de Cardessar,79.66,54,1.68166099299629,0.00698112103467562,6.86,18.51,8.405,20814,29081787,1,0,5.2,0,7.01754386,1,0.27,0
Santa Cruz de Tenerife,57.71,70,0.237997437006487,0.925556482440371,8.54,12.17,204.856,26317,16845622,1,0,4.8,1,23.8372093,1,1.81,1
Santa Eulalia del Río,78.45,43,0.995325191972851,0.161287030220225,6.86,13.56,36.457,25904,8104316,1,0,5.2,0,9.230769231,0,0,0
Santa Margalida,82.6,64,0.974333929329317,0.0940614202566821,6.86,19.44,11.958,22736,29081787,1,0,5.2,0,1.020408163,0,0.34,0
Santander,57.62,41,0.374766713250984,3.37355529578588,7.68,13.92,172.044,27585,1103353,1,1,8.6,1,17.24137931,1,0.37,0
Santanyí,81.25,73,0.888313942887029,0.00660008518872842,6.86,16.53,12.112,22955,29081787,1,0,5.2,0,4.273504274,0,0.5,0
Santiago de Compostela,52.91,38,0.595630890580844,0.29816054945369,10.04,11.81,96.405,27181,3950513,0,1,8.2,1,14.51187335,1,1.76,1
Santillana del Mar,56.56,13,0.0817633630171052,0.0999538674457943,7.68,35.11,4.172,22320,1103353,0,0,8.6,0,12.5,0,0.63,1
Sanxenxo,57.79,12,0.37790085114578,0.25570907368825,10.04,18.33,17.212,19149,1129689,1,0,9,0,19.89247312,1,0.23,0
Segovia,58.48,38,0.193069572345709,0.214951846594968,4.83,11.12,51.683,24426,0,0,0,5.8,0,12.34567901,1,1.23,0
Sevilla,65.35,70,2.15444752882234,3.3282188343297,9.03,10.15,688.711,27344,6380465,0,0,6.3,0,18.98947368,1,1.62,1
Sitges,56.2,41,0.351516876159787,0.450023746698256,5.82,15,28.969,40903,50172457,1,0,7.2,0,11.75373134,0,1.62,0
Son Severa,68.89,45,0.674273306866199,0.181733685882214,6.86,20.61,11.378,20158,29081787,1,0,5.2,0,0,1,0.24,0
Soria,44.95,32,0.0845417517335229,0.0979126039853628,4.83,8.7,39.112,24806,0,0,0,7.2,0,18.18181818,1,0.42,0
Suances,61.59,15,0.0702915856299856,0.241080018888491,7.68,18.96,8.716,23868,1103353,1,0,8.6,0,17.54385965,0,0.89,0
Tarifa,46.61,38,0.13815640948348,0.0294554317340261,9.03,23.58,18.169,20338,1133621,1,0,8.9,0,11.74934726,0,0.32,1
Tarragona,49.65,48,0.160042610094869,1.42887081387896,5.82,11.41,132.299,29325,1037576,0,0,7.1,1,11.49425287,0,1.32,0
Teruel,51.48,38,0.142840096812254,0.0551277218547192,6.83,10.81,35.691,25126,0,0,0,6,0,27.5,1,1.16,1
Tías,79.34,77,1.26908304754747,0.210719627020341,8.54,33.79,20.006,22017,28439431,1,0,3.9,0,8.152173913,0,0.68,1
Toledo,57.07,45,0.378503110183567,0.24708133346216,8.61,10.08,84.282,26570,0,0,0,5.2,0,12.06349206,1,1.3,1
Torremolino,74.86,58,1.91089702439762,2.32234543893288,9.03,20.34,68.262,23399,19021704,1,0,7.6,0,26.35135135,1,0.9,0
Tossa de Mar,64.53,86,0.414132441568939,0.0984297240620054,5.82,24.34,5.584,22442,2019876,1,0,5.6,0,4.611650485,0,0.38,0
Úbeda,39.87,31,0.0493629810109168,0.0582780717953184,9.03,9.39,34.602,21069,1126389,0,0,6.6,0,21.875,1,0.33,1
Valencia,58.86,64,1.65588257483885,4.00069947294577,9.87,9.74,791.413,28181,7769867,1,1,10.5,1,18.38235294,1,2.04,1
Valladolid,43.27,49,0.3213334339929,1.02756522176967,4.83,10.68,298.866,26280,253271,0,1,6.2,0,25.3164557,1,1.26,0
Valle de Boí,53.68,16,0.0579829938371793,0.00317076257520355,5.82,39.63,1.022,21115,45500,0,0,6.6,0,9.89010989,0,0,0
Viella Mitg Arán,38.84,32,0.15191520476358,0.0176773415673365,5.82,20,5.493,24427,45500,0,0,6.6,0,12.32876712,1,0.96,0
Vigo,47.45,48,0.337961307235354,1.83134673037223,10.04,9.82,293.642,26710,1129689,0,1,9,0,25.32467532,1,1.52,0
Vitoria-Gasteiz,49.91,53,0.232753949695978,0.614066482590064,4.84,10.46,249.176,34525,140945,0,1,6.3,1,35.29411765,0,2.19,0
Zamora,49.19,35,0.0780504628436967,0.281769203866425,4.83,9.98,61.827,23295,0,0,0,6.8,0,60.63829787,0,0.71,0
Zaragoza,48.28,61,0.757089489583858,0.465966014324226,6.83,9.02,666.88,27158,489064,0,0,10.2,1,21.75572519,1,1.52,0
